"","iso2c","value","escalado","year"
"292","XD",22197.0781989704,-0.552101033943341,1991
"293","XD",22435.9329283056,-0.499470005819365,1992
"294","XD",22529.4583330297,-0.478861922320074,1993
"295","XD",23022.9427032105,-0.370123904705698,1994
"296","XD",23469.3633689435,-0.271756253879975,1995
"297","XD",23985.1352059567,-0.158107250006574,1996
"298","XD",24661.7746070798,-0.00901149021392224,1997
"299","XD",25129.8375863896,0.094124989002592,1998
"300","XD",25820.6594823729,0.246345825229497,1999
"301","XD",26718.3001267449,0.444138643193199,2000
"302","XD",26970.1148063131,0.499625363172625,2001
"303","XD",27232.9414764769,0.557538547088315,2002
"304","XD",27674.7750137971,0.654895435911651,2003
"305","XD",28453.5862858465,0.826504505895682,2004
"306","XD",29086.8681107898,0.966046534775584,2005
"307","XD",29828.0229888411,1.12935811474517,2006
"308","XD",30471.281263208,1.27109842871514,2007
"309","XD",30381.8358078806,1.25138935162046,2008
"310","XD",29126.8025071852,0.974845976786424,2009
"311","XD",29822.1518330503,1.12806442059724,2010
"312","XD",30219.6445679299,1.21565092711839,2011
"313","XD",30492.5798571553,1.27579151936552,2012
"314","XD",30727.3071906293,1.32751308637791,2013
"315","XD",31116.2511628249,1.41321589492707,2014
"316","XS",20610.0867480169,-1.64911367525047,1980
"317","XS",20854.7254403667,-1.60435819201636,1981
"318","XS",20776.8205279152,-1.61861052458725,1982
"319","XS",21275.9197744578,-1.52730269528911,1983
"320","XS",22139.430613426,-1.36932750132159,1984
"321","XS",22876.0386627518,-1.23456856811663,1985
"322","XS",23450.7900004609,-1.12942054916857,1986
"323","XS",24120.411175454,-1.00691654547744,1987
"324","XS",25131.8067429168,-0.821886544998546,1988
"325","XS",25953.0288774478,-0.671647868031888,1989
"326","XS",26550.2728494457,-0.562384928802273,1990
"327","XS",26687.0008446599,-0.537371193490552,1991
"328","XS",27013.9577405487,-0.47755598710731,1992
"329","XS",27156.0255383171,-0.451565360358701,1993
"330","XS",27831.4935791489,-0.327991700418585,1994
"331","XS",28453.3826603462,-0.214220055877548,1995
"332","XS",29095.0072844001,-0.0968378877968752,1996
"333","XS",29896.3842696401,0.0497702136551702,1997
"334","XS",30515.1198766052,0.162964945109513,1998
"335","XS",31370.0613819339,0.319372420314527,1999
